Title,fd_14709_sfd_44653_s | fd_15736_s | fd_4507_s | fd_24648_s | fd_24677_s | fd_4783_s | fd_31098_s | fd_51008_s | fd_25442_s | fd_36144_s | fd_3151_s | fd_41073_s | fd_25692_s | fd_1463_s | fd_1496_s | fd_1529_s | fd_22761_s | fd_20045_s | fd_44713_s | fd_17167_s | fd_3360_s | fd_31572_s | fd_40994_s | fd_31354_s | fd_27320_s | fd_1945_s | fd_3446_s | fd_3491_s | fd_2076_s | fd_2106_s | fd_3528_s | fd_42101_s | fd_2131_s | fd_2175_s | fd_28503_s | fd_52304_s | fd_2250_s | fd_65653_s | fd_2324_s | fd_52340_s | fd_18676_s | fd_31032_s | fd_47891_s | fd_4454_s | fd_60771_s | fd_31003_s | fd_5323_s | fd_5362_s | fd_31480_s | fd_5527_s | fd_3112_s | fd_42369_s | fd_21802_s | fd_6322_s | fd_22260_s | fd_51661_s | fd_3958_s | fd_52735_s | 
Translation,fd_1526_sfd_1559_s | fd_3394_s | 
"Shared Shelf Commons, Cornell: Laboratory of Ornithology Gallery of Bird and Wildlife Art: Published By",publishing_status.1365.updated_by
Keyword,fd_4109_sfd_22286_s | 
Type Term,fd_50377_s
_Digitization Date,fd_28700_s
"Shared Shelf Commons, Mysteries at Eleusis: Images of Inscriptions: Published By",publishing_status.132.updated_by
Updated On,updated_on
Work_Description,fd_35661_sfd_46681_s | fd_21184_s | fd_21260_s | fd_5461_s | 
Digitization Steps,fd_4212_s
Production Company,fd_4035_s
"ARTstor Workspace, Cornell: NewYork-Presbyterian/Weill Cornell Medical Center Archives Image Collection: Published On",publishing_status-222-updated_on
Descriptive Title,fd_42452_s
Compilation,fd_6664_mfcl_lookup
"Omeka Plugin, SharedShelf: Published On",publishing_status-1007-updated_on
"ARTstor Workspace, Cornell: New York Call Photographs: Published By",publishing_status.275.updated_by
Printer/Publisher,fd_2392_s
"Shared Shelf Commons, Cornell: Gem Impressions Collection: Published On",publishing_status-789-updated_on
Creator (original),fd_25690_lookup
Relation,fd_3467_s
Relationships,fd_44674_sfd_24247_s | fd_24669_s | fd_24698_s | fd_31119_s | fd_51029_s | fd_25463_s | fd_36165_s | fd_41094_s | fd_1488_s | fd_1517_s | fd_1550_s | fd_20066_s | fd_44734_s | fd_3381_s | fd_41015_s | fd_31375_lookup | fd_2097_s | fd_2121_s | fd_42122_s | fd_2152_s | fd_29986_s | fd_28524_s | fd_52325_s | fd_52361_s | fd_18697_s | fd_30058_s | fd_31053_s | fd_47912_s | fd_47946_s | fd_4475_s | fd_31024_s | fd_31499_lookup | fd_5641_s | fd_42390_s | fd_21826_s | fd_58244_s | fd_51682_s | fd_6318_s | fd_52756_s | 
Original Filename,fd_58694_sfd_28387_s | fd_40126_s | fd_38874_s | 
Summary,fd_3977_s
Founder,fd_31751_lookup
"ARTstor Workspace, Cornell: Efraim Racker Paintings: Published On",publishing_status-450-updated_on
